2024-04-22 11:38:32 INFO  Main:14 - hola
  2024-04-29 22:10:45 INFO  UserController:82 - UPDATING USER BY ID
  2024-04-29 22:14:56 INFO  UserController:34 - GET ALL
2024-04-29 22:15:45 INFO  UserController:34 - GET ALL
2024-04-29 22:17:17 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:32:15 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:32:15 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:32:15 INFO  UserController:34 - GET ALL
2024-04-29 23:32:15 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:32:16 INFO  UserController:48 - GET BY ID
2024-04-29 23:36:55 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:36:55 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:36:55 INFO  UserController:34 - GET ALL
2024-04-29 23:36:55 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:36:55 INFO  UserController:48 - GET BY ID
2024-04-29 23:41:20 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:41:20 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:41:20 INFO  UserController:34 - GET ALL
2024-04-29 23:41:20 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:44:10 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:44:10 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:44:10 INFO  UserController:34 - GET ALL
2024-04-29 23:44:10 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:46:57 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:46:58 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:46:58 INFO  UserController:34 - GET ALL
2024-04-29 23:46:58 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:47:56 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:47:56 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:47:56 INFO  UserController:34 - GET ALL
2024-04-29 23:47:56 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:51:02 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:51:03 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:51:03 INFO  UserController:34 - GET ALL
2024-04-29 23:51:03 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:53:16 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:53:17 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:53:17 INFO  UserController:34 - GET ALL
2024-04-29 23:53:17 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:53:43 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:53:43 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:53:43 INFO  UserController:34 - GET ALL
2024-04-29 23:53:43 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:55:10 INFO  UserController:34 - GET ALL
2024-04-29 23:55:17 INFO  UserController:34 - GET ALL
2024-04-29 23:56:34 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:56:34 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:56:34 INFO  UserController:34 - GET ALL
2024-04-29 23:56:34 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:57:19 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:57:19 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:57:19 INFO  UserController:34 - GET ALL
2024-04-29 23:57:19 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:59:10 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:59:10 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:59:10 INFO  UserController:34 - GET ALL
2024-04-29 23:59:10 INFO  UserController:75 - DELETING USER BY ID
2024-04-29 23:59:14 INFO  UserController:82 - UPDATING USER BY ID
2024-04-29 23:59:14 INFO  UserController:57 - CREATE USER DONE...
2024-04-29 23:59:14 INFO  UserController:34 - GET ALL
2024-04-29 23:59:15 INFO  UserController:75 - DELETING USER BY ID
2024-04-30 00:00:26 INFO  UserController:82 - UPDATING USER BY ID
2024-04-30 00:00:27 INFO  UserController:57 - CREATE USER DONE...
2024-04-30 00:00:27 INFO  UserController:34 - GET ALL
2024-04-30 00:00:27 INFO  UserController:75 - DELETING USER BY ID
2024-04-30 00:10:28 INFO  UserController:75 - UPDATING USER BY ID
2024-04-30 00:10:28 INFO  UserController:57 - CREATE USER DONE...
2024-04-30 00:10:28 INFO  UserController:34 - GET ALL
2024-04-30 00:10:28 INFO  UserController:68 - DELETING USER BY ID
2024-04-30 09:19:09 INFO  UserController:34 - GET ALL
2024-04-30 09:19:22 INFO  UserController:34 - GET ALL
2024-04-30 09:24:30 INFO  UserController:75 - UPDATING USER BY ID
